2024-04-19 21:50:59 +0300 ('127.0.0.1', 38308) -> UDP://dns.google:53 [8.8.8.8]
2024-04-19 21:51:13 +0300 ('127.0.0.1', 60548) -> UDP://dns.google:53 [8.8.8.8]
2024-04-19 21:51:22 +0300 ('127.0.0.1', 44518) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 21:56:04 +0300 ('127.0.0.1', 56816) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 21:56:25 +0300 ('127.0.0.1', 41170) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 21:57:23 +0300 ('127.0.0.1', 38434) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 21:57:56 +0300 ('127.0.0.1', 55968) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 21:58:32 +0300 ('127.0.0.1', 53578) -> TCP://ip.tanatos.org:443 [167.172.59.39]
2024-04-19 21:58:36 +0300 ('127.0.0.1', 53048) -> TCP://ip.tanatos.org:443 [167.172.59.39]
2024-04-19 21:58:38 +0300 ('127.0.0.1', 53056) -> TCP://ip.tanatos.org:443 [167.172.59.39]
2024-04-19 21:58:42 +0300 ('127.0.0.1', 53068) -> TCP://ip.tanatos.org:443 [167.172.59.39]
2024-04-19 21:59:03 +0300 ('127.0.0.1', 55932) -> TCP://ip.tanatos.org:443 [167.172.59.39]
2024-04-19 21:59:06 +0300 ('127.0.0.1', 49186) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:00:55 +0300 ('127.0.0.1', 37324) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:05:38 +0300 ('127.0.0.1', 57622) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:06:32 +0300 ('127.0.0.1', 36632) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:07:19 +0300 ('127.0.0.1', 34630) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:08:08 +0300 ('127.0.0.1', 55124) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:08:44 +0300 ('127.0.0.1', 50738) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:10:19 +0300 ('127.0.0.1', 51482) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:10:36 +0300 ('127.0.0.1', 58348) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:11:28 +0300 ('127.0.0.1', 48944) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:12:10 +0300 ('127.0.0.1', 34814) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:12:36 +0300 ('127.0.0.1', 55226) -> TCP://ip.tanatos.org:443 [167.172.59.39]
2024-04-19 22:13:11 +0300 ('127.0.0.1', 46526) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:18:10 +0300 ('127.0.0.1', 46998) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:26:46 +0300 ('127.0.0.1', 44700) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:27:30 +0300 ('127.0.0.1', 57006) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:28:57 +0300 ('127.0.0.1', 55136) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:31:58 +0300 ('127.0.0.1', 60580) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:33:42 +0300 ('127.0.0.1', 58298) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:34:43 +0300 ('127.0.0.1', 55478) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:35:13 +0300 ('127.0.0.1', 48480) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:36:40 +0300 ('127.0.0.1', 52694) -> UDP://dns.google:53 [8.8.8.8]
2024-04-19 22:37:04 +0300 ('127.0.0.1', 39824) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:37:51 +0300 ('127.0.0.1', 32970) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:39:56 +0300 ('127.0.0.1', 46210) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:40:11 +0300 ('127.0.0.1', 49964) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:40:17 +0300 ('127.0.0.1', 34234) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:40:46 +0300 ('127.0.0.1', 47370) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:41:32 +0300 ('127.0.0.1', 45700) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:41:36 +0300 ('127.0.0.1', 36122) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:44:28 +0300 ('127.0.0.1', 56000) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:44:34 +0300 ('127.0.0.1', 56016) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:44:56 +0300 ('127.0.0.1', 48686) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:45:06 +0300 ('127.0.0.1', 56104) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:45:17 +0300 ('127.0.0.1', 35008) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:46:05 +0300 ('127.0.0.1', 43000) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:48:06 +0300 ('127.0.0.1', 34986) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:48:12 +0300 ('127.0.0.1', 34988) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:48:39 +0300 ('127.0.0.1', 47834) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:48:49 +0300 ('127.0.0.1', 52894) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:52:21 +0300 ('127.0.0.1', 48556) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:52:26 +0300 ('127.0.0.1', 57836) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:52:53 +0300 ('127.0.0.1', 58970) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:52:56 +0300 ('127.0.0.1', 34118) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:17 +0300 ('127.0.0.1', 56064) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:21 +0300 ('127.0.0.1', 56078) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:35 +0300 ('127.0.0.1', 34468) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:53:37 +0300 ('127.0.0.1', 34482) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:54:37 +0300 ('127.0.0.1', 39906) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:55:10 +0300 ('127.0.0.1', 48348) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:55:14 +0300 ('127.0.0.1', 48362) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 22:59:58 +0300 ('127.0.0.1', 39632) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-19 23:00:40 +0300 ('127.0.0.1', 43886) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:06 +0300 ('127.0.0.1', 44260) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:14 +0300 ('127.0.0.1', 44266) -> UDP://ip.tanatos.org:80 [167.172.59.39]
2024-04-19 23:01:44 +0300 ('127.0.0.1', 42354) -> UDP://ip.tanatos.org:80 [167.172.59.39]
